"Plot Title: garibaldi_hobo_22_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10201239, SEN S/N: 10201239, LBL: temp_C)","Coupler Attached (LGR S/N: 10201239)","Host Connected (LGR S/N: 10201239)","Stopped (LGR S/N: 10201239)","End Of File (LGR S/N: 10201239)"
278,09/11/19 01:00:00  AM,5.450,,,,
279,09/11/19 02:00:00  AM,5.655,,,,
280,09/11/19 03:00:00  AM,5.450,,,,
281,09/11/19 04:00:00  AM,3.998,,,,
282,09/11/19 05:00:00  AM,5.552,,,,
283,09/11/19 06:00:00  AM,5.655,,,,
284,09/11/19 07:00:00  AM,4.623,,,,
285,09/11/19 08:00:00  AM,8.382,,,,
286,09/11/19 09:00:00  AM,9.176,,,,
287,09/11/19 10:00:00  AM,15.187,,,,
288,09/11/19 11:00:00  AM,13.750,,,,
289,09/11/19 12:00:00  PM,17.379,,,,
290,09/11/19 01:00:00  PM,11.625,,,,
291,09/11/19 02:00:00  PM,14.134,,,,
292,09/11/19 03:00:00  PM,17.950,,,,
293,09/11/19 04:00:00  PM,14.421,,,,
294,09/11/19 05:00:00  PM,16.332,,,,
295,09/11/19 06:00:00  PM,10.944,,,,
296,09/11/19 07:00:00  PM,7.582,,,,
297,09/11/19 08:00:00  PM,6.064,,,,
298,09/11/19 09:00:00  PM,5.962,,,,
299,09/11/19 10:00:00  PM,5.962,,,,
300,09/11/19 11:00:00  PM,6.166,,,,
301,09/12/19 12:00:00  AM,6.064,,,,
302,09/12/19 01:00:00  AM,6.268,,,,
303,09/12/19 02:00:00  AM,5.450,,,,
304,09/12/19 03:00:00  AM,5.860,,,,
305,09/12/19 04:00:00  AM,6.064,,,,
306,09/12/19 05:00:00  AM,5.860,,,,
307,09/12/19 06:00:00  AM,6.064,,,,
308,09/12/19 07:00:00  AM,5.757,,,,
309,09/12/19 08:00:00  AM,6.471,,,,
310,09/12/19 09:00:00  AM,6.370,,,,
311,09/12/19 10:00:00  AM,7.280,,,,
312,09/12/19 11:00:00  AM,9.965,,,,
313,09/12/19 12:00:00  PM,8.779,,,,
314,09/12/19 01:00:00  PM,11.431,,,,
315,09/12/19 02:00:00  PM,9.965,,,,
316,09/12/19 03:00:00  PM,7.280,,,,
317,09/12/19 04:00:00  PM,7.782,,,,
318,09/12/19 05:00:00  PM,6.573,,,,
319,09/12/19 06:00:00  PM,6.573,,,,
320,09/12/19 07:00:00  PM,6.166,,,,
