"Plot Title: garibaldi_hobo_16_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406791, SEN S/N: 10406791)","Bad Battery (LGR S/N: 10406791)","Coupler Attached (LGR S/N: 10406791)","Host Connected (LGR S/N: 10406791)","Stopped (LGR S/N: 10406791)","End Of File (LGR S/N: 10406791)"
276,09/10/19 11:00:00  PM,2.730,,,,,
277,09/11/19 12:00:00  AM,3.683,,,,,
278,09/11/19 01:00:00  AM,5.141,,,,,
279,09/11/19 02:00:00  AM,5.037,,,,,
280,09/11/19 03:00:00  AM,4.415,,,,,
281,09/11/19 04:00:00  AM,4.519,,,,,
282,09/11/19 05:00:00  AM,5.347,,,,,
283,09/11/19 06:00:00  AM,5.450,,,,,
284,09/11/19 07:00:00  AM,4.519,,,,,
285,09/11/19 08:00:00  AM,6.877,,,,,
286,09/11/19 09:00:00  AM,7.381,,,,,
287,09/11/19 10:00:00  AM,10.651,,,,,
288,09/11/19 11:00:00  AM,11.236,,,,,
289,09/11/19 12:00:00  PM,12.110,,,,,
290,09/11/19 01:00:00  PM,10.063,,,,,
291,09/11/19 02:00:00  PM,9.373,,,,,
292,09/11/19 03:00:00  PM,12.690,,,,,
293,09/11/19 04:00:00  PM,12.207,,,,,
294,09/11/19 05:00:00  PM,12.594,,,,,
295,09/11/19 06:00:00  PM,9.965,,,,,
296,09/11/19 07:00:00  PM,7.481,,,,,
297,09/11/19 08:00:00  PM,6.268,,,,,
298,09/11/19 09:00:00  PM,6.064,,,,,
299,09/11/19 10:00:00  PM,5.860,,,,,
300,09/11/19 11:00:00  PM,5.962,,,,,
301,09/12/19 12:00:00  AM,5.860,,,,,
302,09/12/19 01:00:00  AM,5.860,,,,,
303,09/12/19 02:00:00  AM,5.347,,,,,
304,09/12/19 03:00:00  AM,5.450,,,,,
305,09/12/19 04:00:00  AM,5.552,,,,,
306,09/12/19 05:00:00  AM,5.450,,,,,
307,09/12/19 06:00:00  AM,5.552,,,,,
308,09/12/19 07:00:00  AM,5.450,,,,,
309,09/12/19 08:00:00  AM,5.860,,,,,
310,09/12/19 09:00:00  AM,5.552,,,,,
311,09/12/19 10:00:00  AM,5.962,,,,,
312,09/12/19 11:00:00  AM,7.280,,,,,
313,09/12/19 12:00:00  PM,6.775,,,,,
314,09/12/19 01:00:00  PM,8.680,,,,,
315,09/12/19 02:00:00  PM,7.582,,,,,
316,09/12/19 03:00:00  PM,6.166,,,,,
317,09/12/19 04:00:00  PM,6.471,,,,,
318,09/12/19 05:00:00  PM,5.860,,,,,
319,09/12/19 06:00:00  PM,5.655,,,,,
320,09/12/19 07:00:00  PM,5.552,,,,,
321,09/12/19 08:00:00  PM,5.347,,,,,
322,09/12/19 09:00:00  PM,6.166,,,,,
323,09/12/19 10:00:00  PM,6.064,,,,,
324,09/12/19 11:00:00  PM,5.757,,,,,
325,09/13/19 12:00:00  AM,5.450,,,,,
326,09/13/19 01:00:00  AM,4.831,,,,,
327,09/13/19 02:00:00  AM,4.102,,,,,
328,09/13/19 03:00:00  AM,4.519,,,,,
329,09/13/19 04:00:00  AM,4.727,,,,,
330,09/13/19 05:00:00  AM,4.831,,,,,
331,09/13/19 06:00:00  AM,5.141,,,,,
332,09/13/19 07:00:00  AM,5.037,,,,,
333,09/13/19 08:00:00  AM,5.450,,,,,
334,09/13/19 09:00:00  AM,6.064,,,,,
335,09/13/19 10:00:00  AM,5.962,,,,,
336,09/13/19 11:00:00  AM,6.877,,,,,
337,09/13/19 12:00:00  PM,6.268,,,,,
338,09/13/19 01:00:00  PM,6.877,,,,,
339,09/13/19 02:00:00  PM,8.082,,,,,
340,09/13/19 03:00:00  PM,7.280,,,,,
341,09/13/19 04:00:00  PM,7.280,,,,,
342,09/13/19 05:00:00  PM,6.674,,,,,
343,09/13/19 06:00:00  PM,6.268,,,,,
344,09/13/19 07:00:00  PM,5.757,,,,,
345,09/13/19 08:00:00  PM,5.552,,,,,
346,09/13/19 09:00:00  PM,5.757,,,,,
347,09/13/19 10:00:00  PM,5.450,,,,,
348,09/13/19 11:00:00  PM,5.552,,,,,
349,09/14/19 12:00:00  AM,5.141,,,,,
350,09/14/19 01:00:00  AM,5.037,,,,,
351,09/14/19 02:00:00  AM,4.831,,,,,
352,09/14/19 03:00:00  AM,4.623,,,,,
353,09/14/19 04:00:00  AM,4.415,,,,,
354,09/14/19 05:00:00  AM,4.102,,,,,
355,09/14/19 06:00:00  AM,4.207,,,,,
356,09/14/19 07:00:00  AM,4.415,,,,,
357,09/14/19 08:00:00  AM,4.623,,,,,
358,09/14/19 09:00:00  AM,4.934,,,,,
359,09/14/19 10:00:00  AM,5.347,,,,,
360,09/14/19 11:00:00  AM,5.450,,,,,
361,09/14/19 12:00:00  PM,5.860,,,,,
362,09/14/19 01:00:00  PM,6.573,,,,,
363,09/14/19 02:00:00  PM,6.370,,,,,
364,09/14/19 03:00:00  PM,6.166,,,,,
365,09/14/19 04:00:00  PM,6.166,,,,,
366,09/14/19 05:00:00  PM,5.962,,,,,
367,09/14/19 06:00:00  PM,5.757,,,,,
368,09/14/19 07:00:00  PM,5.655,,,,,
369,09/14/19 08:00:00  PM,5.655,,,,,
370,09/14/19 09:00:00  PM,5.552,,,,,
371,09/14/19 10:00:00  PM,5.347,,,,,
372,09/14/19 11:00:00  PM,4.934,,,,,
373,09/15/19 12:00:00  AM,4.415,,,,,
374,09/15/19 01:00:00  AM,4.415,,,,,
375,09/15/19 02:00:00  AM,4.102,,,,,
376,09/15/19 03:00:00  AM,3.998,,,,,
377,09/15/19 04:00:00  AM,3.683,,,,,
378,09/15/19 05:00:00  AM,3.261,,,,,
379,09/15/19 06:00:00  AM,3.261,,,,,
380,09/15/19 07:00:00  AM,2.943,,,,,
381,09/15/19 08:00:00  AM,3.998,,,,,
382,09/15/19 09:00:00  AM,3.472,,,,,
383,09/15/19 10:00:00  AM,3.683,,,,,
384,09/15/19 11:00:00  AM,4.207,,,,,
385,09/15/19 12:00:00  PM,5.347,,,,,
386,09/15/19 01:00:00  PM,5.860,,,,,
387,09/15/19 02:00:00  PM,7.280,,,,,
