"Plot Title: garibaldi_hobo_2_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10355029, SEN S/N: 10355029, LBL: temp_C)","Coupler Attached (LGR S/N: 10355029)","Host Connected (LGR S/N: 10355029)","Stopped (LGR S/N: 10355029)","End Of File (LGR S/N: 10355029)"
264,08/06/19 11:00:00  AM,16.141,,,,
265,08/06/19 12:00:00  PM,23.773,,,,
266,08/06/19 01:00:00  PM,29.152,,,,
267,08/06/19 02:00:00  PM,31.166,,,,
268,08/06/19 03:00:00  PM,32.497,,,,
269,08/06/19 04:00:00  PM,32.600,,,,
270,08/06/19 05:00:00  PM,32.394,,,,
271,08/06/19 06:00:00  PM,20.996,,,,
272,08/06/19 07:00:00  PM,16.427,,,,
273,08/06/19 08:00:00  PM,14.900,,,,
274,08/06/19 09:00:00  PM,13.076,,,,
275,08/06/19 10:00:00  PM,12.207,,,,
276,08/06/19 11:00:00  PM,11.334,,,,
277,08/07/19 12:00:00  AM,10.455,,,,
278,08/07/19 01:00:00  AM,10.259,,,,
279,08/07/19 02:00:00  AM,10.063,,,,
280,08/07/19 03:00:00  AM,9.669,,,,
281,08/07/19 04:00:00  AM,9.571,,,,
282,08/07/19 05:00:00  AM,9.275,,,,
283,08/07/19 06:00:00  AM,9.077,,,,
284,08/07/19 07:00:00  AM,9.077,,,,
285,08/07/19 08:00:00  AM,9.571,,,,
286,08/07/19 09:00:00  AM,11.431,,,,
287,08/07/19 10:00:00  AM,13.461,,,,
288,08/07/19 11:00:00  AM,16.523,,,,
289,08/07/19 12:00:00  PM,24.255,,,,
290,08/07/19 01:00:00  PM,29.652,,,,
291,08/07/19 02:00:00  PM,31.268,,,,
292,08/07/19 03:00:00  PM,31.778,,,,
293,08/07/19 04:00:00  PM,32.911,,,,
294,08/07/19 05:00:00  PM,32.600,,,,
295,08/07/19 06:00:00  PM,20.519,,,,
296,08/07/19 07:00:00  PM,17.760,,,,
297,08/07/19 08:00:00  PM,14.517,,,,
298,08/07/19 09:00:00  PM,12.980,,,,
299,08/07/19 10:00:00  PM,11.916,,,,
300,08/07/19 11:00:00  PM,11.334,,,,
301,08/08/19 12:00:00  AM,10.651,,,,
302,08/08/19 01:00:00  AM,9.768,,,,
303,08/08/19 02:00:00  AM,9.373,,,,
304,08/08/19 03:00:00  AM,9.077,,,,
305,08/08/19 04:00:00  AM,9.077,,,,
306,08/08/19 05:00:00  AM,8.779,,,,
307,08/08/19 06:00:00  AM,8.481,,,,
308,08/08/19 07:00:00  AM,8.680,,,,
309,08/08/19 08:00:00  AM,8.978,,,,
310,08/08/19 09:00:00  AM,10.944,,,,
311,08/08/19 10:00:00  AM,13.076,,,,
312,08/08/19 11:00:00  AM,15.664,,,,
313,08/08/19 12:00:00  PM,23.484,,,,
314,08/08/19 01:00:00  PM,29.452,,,,
315,08/08/19 02:00:00  PM,31.268,,,,
316,08/08/19 03:00:00  PM,32.086,,,,
317,08/08/19 04:00:00  PM,32.394,,,,
318,08/08/19 05:00:00  PM,31.676,,,,
319,08/08/19 06:00:00  PM,20.138,,,,
320,08/08/19 07:00:00  PM,17.379,,,,
321,08/08/19 08:00:00  PM,14.134,,,,
322,08/08/19 09:00:00  PM,12.401,,,,
323,08/08/19 10:00:00  PM,11.528,,,,
324,08/08/19 11:00:00  PM,11.139,,,,
325,08/09/19 12:00:00  AM,10.259,,,,
326,08/09/19 01:00:00  AM,9.571,,,,
