Site ,Stem_Count,Flowering ,Elevation,Distance_from_Glacial_Terminus_(m),Zone ,Notes,,
GB10,1,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,3,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,10,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,4,N,1282,2450,1910,,,
GB10,6,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,5,N,1282,2450,1910,,,
GB10,3,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,4,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,3,N,1282,2450,1910,,,
GB10,3,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,4,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,3,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB21,1,Y,1418,1200,1928,,,
GB21,37,Y,1418,1200,1928,,,
GB21,48,Y,1418,1200,1928,,,
GB21,2,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,0,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,2,Y,1418,1200,1928,,,
GB21,2,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,3,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,2,Y,1418,1200,1928,,,
GB21,2,Y,1418,1200,1928,,,
GB21,0,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,2,Y,1418,1200,1928,,,
GB21,2,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,0,Y,1418,1200,1928,,,
GB21,0,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,2,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,Y,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,0,N,1418,1200,1928,,,
GB21,0,N,1418,1200,1928,,,
GB21,0,N,1418,1200,1928,,,
GB21,0,N,1418,1200,1928,,,
GB21,0,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,5,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,4,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,0,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,4,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,7,N,1418,1200,1928,,,
GB21,21,N,1418,1200,1928,,,
GB21,7,N,1418,1200,1928,,,
GB21,12,N,1418,1200,1928,,,
GB21,12,N,1418,1200,1928,,,
GB21,4,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,4,N,1418,1200,1928,,,
GB21,10,N,1418,1200,1928,,,
GB21,5,N,1418,1200,1928,,,
GB21,12,N,1418,1200,1928,,,
GB21,5,N,1418,1200,1928,,,
GB21,4,N,1418,1200,1928,,,
GB21,6,N,1418,1200,1928,,,
GB21,14,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,4,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,6,N,1418,1200,1928,,,
GB21,6,N,1418,1200,1928,,,
