"Plot Title: garibaldi_hobo_14_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406797, SEN S/N: 10406797)","Host Connected (LGR S/N: 10406797)","Coupler Attached (LGR S/N: 10406797)","Stopped (LGR S/N: 10406797)","End Of File (LGR S/N: 10406797)"
257,09/10/19 04:00:00  AM,6.166,,,,
258,09/10/19 05:00:00  AM,6.268,,,,
259,09/10/19 06:00:00  AM,5.860,,,,
260,09/10/19 07:00:00  AM,5.860,,,,
261,09/10/19 08:00:00  AM,4.831,,,,
262,09/10/19 09:00:00  AM,14.038,,,,
263,09/10/19 10:00:00  AM,10.455,,,,
264,09/10/19 11:00:00  AM,12.304,,,,
265,09/10/19 12:00:00  PM,9.669,,,,
266,09/10/19 01:00:00  PM,10.161,,,,
267,09/10/19 02:00:00  PM,17.665,,,,
268,09/10/19 03:00:00  PM,12.013,,,,
269,09/10/19 04:00:00  PM,14.421,,,,
270,09/10/19 05:00:00  PM,12.110,,,,
271,09/10/19 06:00:00  PM,9.669,,,,
272,09/10/19 07:00:00  PM,8.282,,,,
273,09/10/19 08:00:00  PM,7.079,,,,
274,09/10/19 09:00:00  PM,4.934,,,,
275,09/10/19 10:00:00  PM,3.155,,,,
276,09/10/19 11:00:00  PM,2.624,,,,
277,09/11/19 12:00:00  AM,4.623,,,,
278,09/11/19 01:00:00  AM,5.860,,,,
279,09/11/19 02:00:00  AM,6.268,,,,
280,09/11/19 03:00:00  AM,5.962,,,,
281,09/11/19 04:00:00  AM,5.757,,,,
282,09/11/19 05:00:00  AM,5.962,,,,
283,09/11/19 06:00:00  AM,6.064,,,,
284,09/11/19 07:00:00  AM,5.655,,,,
285,09/11/19 08:00:00  AM,7.682,,,,
286,09/11/19 09:00:00  AM,8.680,,,,
287,09/11/19 10:00:00  AM,12.787,,,,
288,09/11/19 11:00:00  AM,11.528,,,,
289,09/11/19 12:00:00  PM,12.207,,,,
290,09/11/19 01:00:00  PM,9.866,,,,
291,09/11/19 02:00:00  PM,10.455,,,,
292,09/11/19 03:00:00  PM,13.461,,,,
293,09/11/19 04:00:00  PM,12.980,,,,
294,09/11/19 05:00:00  PM,11.431,,,,
295,09/11/19 06:00:00  PM,10.259,,,,
296,09/11/19 07:00:00  PM,7.782,,,,
297,09/11/19 08:00:00  PM,6.573,,,,
298,09/11/19 09:00:00  PM,6.370,,,,
299,09/11/19 10:00:00  PM,6.370,,,,
300,09/11/19 11:00:00  PM,6.370,,,,
301,09/12/19 12:00:00  AM,6.471,,,,
302,09/12/19 01:00:00  AM,6.573,,,,
303,09/12/19 02:00:00  AM,5.860,,,,
304,09/12/19 03:00:00  AM,6.166,,,,
305,09/12/19 04:00:00  AM,6.064,,,,
306,09/12/19 05:00:00  AM,6.064,,,,
307,09/12/19 06:00:00  AM,6.064,,,,
308,09/12/19 07:00:00  AM,5.757,,,,
309,09/12/19 08:00:00  AM,5.962,,,,
310,09/12/19 09:00:00  AM,5.655,,,,
311,09/12/19 10:00:00  AM,5.860,,,,
312,09/12/19 11:00:00  AM,7.179,,,,
313,09/12/19 12:00:00  PM,6.978,,,,
314,09/12/19 01:00:00  PM,8.082,,,,
315,09/12/19 02:00:00  PM,7.179,,,,
316,09/12/19 03:00:00  PM,6.268,,,,
317,09/12/19 04:00:00  PM,6.573,,,,
318,09/12/19 05:00:00  PM,6.064,,,,
319,09/12/19 06:00:00  PM,6.268,,,,
320,09/12/19 07:00:00  PM,5.962,,,,
321,09/12/19 08:00:00  PM,5.655,,,,
322,09/12/19 09:00:00  PM,6.370,,,,
323,09/12/19 10:00:00  PM,6.573,,,,
324,09/12/19 11:00:00  PM,6.064,,,,
325,09/13/19 12:00:00  AM,5.450,,,,
326,09/13/19 01:00:00  AM,4.415,,,,
327,09/13/19 02:00:00  AM,4.415,,,,
328,09/13/19 03:00:00  AM,4.727,,,,
329,09/13/19 04:00:00  AM,5.037,,,,
330,09/13/19 05:00:00  AM,5.037,,,,
331,09/13/19 06:00:00  AM,5.347,,,,
332,09/13/19 07:00:00  AM,5.347,,,,
333,09/13/19 08:00:00  AM,5.757,,,,
334,09/13/19 09:00:00  AM,6.877,,,,
335,09/13/19 10:00:00  AM,6.978,,,,
336,09/13/19 11:00:00  AM,7.481,,,,
337,09/13/19 12:00:00  PM,6.674,,,,
338,09/13/19 01:00:00  PM,7.782,,,,
339,09/13/19 02:00:00  PM,10.748,,,,
340,09/13/19 03:00:00  PM,8.680,,,,
341,09/13/19 04:00:00  PM,7.882,,,,
342,09/13/19 05:00:00  PM,6.978,,,,
343,09/13/19 06:00:00  PM,6.877,,,,
344,09/13/19 07:00:00  PM,6.166,,,,
345,09/13/19 08:00:00  PM,5.860,,,,
346,09/13/19 09:00:00  PM,6.064,,,,
347,09/13/19 10:00:00  PM,5.860,,,,
348,09/13/19 11:00:00  PM,5.962,,,,
349,09/14/19 12:00:00  AM,5.450,,,,
350,09/14/19 01:00:00  AM,5.347,,,,
351,09/14/19 02:00:00  AM,5.141,,,,
352,09/14/19 03:00:00  AM,4.934,,,,
353,09/14/19 04:00:00  AM,4.727,,,,
354,09/14/19 05:00:00  AM,4.519,,,,
355,09/14/19 06:00:00  AM,4.415,,,,
356,09/14/19 07:00:00  AM,4.623,,,,
357,09/14/19 08:00:00  AM,5.037,,,,
358,09/14/19 09:00:00  AM,5.450,,,,
359,09/14/19 10:00:00  AM,5.450,,,,
