"Plot Title: garibaldi_hobo_6_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10019732, SEN S/N: 10019732, LBL: Temp)","Coupler Attached (LGR S/N: 10019732)","Host Connected (LGR S/N: 10019732)","Stopped (LGR S/N: 10019732)","End Of File (LGR S/N: 10019732)"
341,08/09/19 04:00:00  PM,32.086,,,,
342,08/09/19 05:00:00  PM,29.752,,,,
343,08/09/19 06:00:00  PM,17.570,,,,
344,08/09/19 07:00:00  PM,14.804,,,,
345,08/09/19 08:00:00  PM,12.980,,,,
346,08/09/19 09:00:00  PM,12.980,,,,
347,08/09/19 10:00:00  PM,12.401,,,,
348,08/09/19 11:00:00  PM,9.965,,,,
349,08/10/19 12:00:00  AM,11.528,,,,
350,08/10/19 01:00:00  AM,11.819,,,,
351,08/10/19 02:00:00  AM,10.259,,,,
352,08/10/19 03:00:00  AM,10.357,,,,
353,08/10/19 04:00:00  AM,10.846,,,,
354,08/10/19 05:00:00  AM,10.944,,,,
355,08/10/19 06:00:00  AM,10.748,,,,
356,08/10/19 07:00:00  AM,11.916,,,,
357,08/10/19 08:00:00  AM,12.690,,,,
358,08/10/19 09:00:00  AM,14.517,,,,
359,08/10/19 10:00:00  AM,14.517,,,,
360,08/10/19 11:00:00  AM,14.038,,,,
361,08/10/19 12:00:00  PM,14.230,,,,
362,08/10/19 01:00:00  PM,20.710,,,,
363,08/10/19 02:00:00  PM,15.187,,,,
364,08/10/19 03:00:00  PM,17.379,,,,
365,08/10/19 04:00:00  PM,24.835,,,,
366,08/10/19 05:00:00  PM,19.092,,,,
367,08/10/19 06:00:00  PM,13.846,,,,
368,08/10/19 07:00:00  PM,12.207,,,,
369,08/10/19 08:00:00  PM,11.916,,,,
370,08/10/19 09:00:00  PM,11.528,,,,
371,08/10/19 10:00:00  PM,11.139,,,,
372,08/10/19 11:00:00  PM,10.944,,,,
373,08/11/19 12:00:00  AM,10.553,,,,
374,08/11/19 01:00:00  AM,10.553,,,,
375,08/11/19 02:00:00  AM,10.455,,,,
376,08/11/19 03:00:00  AM,10.161,,,,
377,08/11/19 04:00:00  AM,9.866,,,,
378,08/11/19 05:00:00  AM,9.866,,,,
379,08/11/19 06:00:00  AM,9.866,,,,
380,08/11/19 07:00:00  AM,9.768,,,,
381,08/11/19 08:00:00  AM,9.866,,,,
382,08/11/19 09:00:00  AM,10.161,,,,
383,08/11/19 10:00:00  AM,10.455,,,,
384,08/11/19 11:00:00  AM,11.041,,,,
385,08/11/19 12:00:00  PM,12.110,,,,
386,08/11/19 01:00:00  PM,11.431,,,,
387,08/11/19 02:00:00  PM,11.041,,,,
388,08/11/19 03:00:00  PM,10.944,,,,
389,08/11/19 04:00:00  PM,10.553,,,,
390,08/11/19 05:00:00  PM,10.846,,,,
391,08/11/19 06:00:00  PM,11.041,,,,
392,08/11/19 07:00:00  PM,11.236,,,,
393,08/11/19 08:00:00  PM,10.455,,,,
394,08/11/19 09:00:00  PM,9.669,,,,
395,08/11/19 10:00:00  PM,9.571,,,,
396,08/11/19 11:00:00  PM,9.472,,,,
397,08/12/19 12:00:00  AM,9.275,,,,
398,08/12/19 01:00:00  AM,9.176,,,,
399,08/12/19 02:00:00  AM,8.879,,,,
400,08/12/19 03:00:00  AM,8.779,,,,
401,08/12/19 04:00:00  AM,8.282,,,,
402,08/12/19 05:00:00  AM,8.581,,,,
403,08/12/19 06:00:00  AM,8.382,,,,
404,08/12/19 07:00:00  AM,8.680,,,,
405,08/12/19 08:00:00  AM,9.472,,,,
406,08/12/19 09:00:00  AM,10.846,,,,
407,08/12/19 10:00:00  AM,12.690,,,,
408,08/12/19 11:00:00  AM,12.883,,,,
409,08/12/19 12:00:00  PM,18.616,,,,
410,08/12/19 01:00:00  PM,17.665,,,,
411,08/12/19 02:00:00  PM,16.903,,,,
412,08/12/19 03:00:00  PM,17.189,,,,
413,08/12/19 04:00:00  PM,17.094,,,,
414,08/12/19 05:00:00  PM,14.996,,,,
415,08/12/19 06:00:00  PM,13.942,,,,
416,08/12/19 07:00:00  PM,13.558,,,,
417,08/12/19 08:00:00  PM,12.110,,,,
418,08/12/19 09:00:00  PM,9.965,,,,
419,08/12/19 10:00:00  PM,8.382,,,,
420,08/12/19 11:00:00  PM,7.582,,,,
421,08/13/19 12:00:00  AM,7.079,,,,
422,08/13/19 01:00:00  AM,6.674,,,,
423,08/13/19 02:00:00  AM,6.370,,,,
424,08/13/19 03:00:00  AM,6.064,,,,
425,08/13/19 04:00:00  AM,5.860,,,,
426,08/13/19 05:00:00  AM,5.757,,,,
427,08/13/19 06:00:00  AM,5.655,,,,
428,08/13/19 07:00:00  AM,6.064,,,,
429,08/13/19 08:00:00  AM,7.280,,,,
430,08/13/19 09:00:00  AM,8.978,,,,
431,08/13/19 10:00:00  AM,14.038,,,,
432,08/13/19 11:00:00  AM,22.046,,,,
433,08/13/19 12:00:00  PM,22.717,,,,
434,08/13/19 01:00:00  PM,20.710,,,,
435,08/13/19 02:00:00  PM,22.525,,,,
436,08/13/19 03:00:00  PM,22.238,,,,
437,08/13/19 04:00:00  PM,19.282,,,,
438,08/13/19 05:00:00  PM,18.901,,,,
439,08/13/19 06:00:00  PM,17.570,,,,
440,08/13/19 07:00:00  PM,15.760,,,,
441,08/13/19 08:00:00  PM,13.365,,,,
442,08/13/19 09:00:00  PM,10.259,,,,
443,08/13/19 10:00:00  PM,9.866,,,,
444,08/13/19 11:00:00  PM,8.779,,,,
445,08/14/19 12:00:00  AM,8.382,,,,
446,08/14/19 01:00:00  AM,7.983,,,,
447,08/14/19 02:00:00  AM,7.983,,,,
448,08/14/19 03:00:00  AM,7.381,,,,
449,08/14/19 04:00:00  AM,6.978,,,,
450,08/14/19 05:00:00  AM,6.877,,,,
451,08/14/19 06:00:00  AM,6.573,,,,
452,08/14/19 07:00:00  AM,6.978,,,,
453,08/14/19 08:00:00  AM,7.381,,,,
454,08/14/19 09:00:00  AM,9.077,,,,
455,08/14/19 10:00:00  AM,13.173,,,,
456,08/14/19 11:00:00  AM,25.708,,,,
457,08/14/19 12:00:00  PM,26.585,,,,
458,08/14/19 01:00:00  PM,25.708,,,,
459,08/14/19 02:00:00  PM,32.291,,,,
460,08/14/19 03:00:00  PM,33.743,,,,
461,08/14/19 04:00:00  PM,32.600,,,,
462,08/14/19 05:00:00  PM,31.268,,,,
463,08/14/19 06:00:00  PM,17.189,,,,
464,08/14/19 07:00:00  PM,14.421,,,,
465,08/14/19 08:00:00  PM,12.594,,,,
466,08/14/19 09:00:00  PM,11.139,,,,
467,08/14/19 10:00:00  PM,10.259,,,,
